;Ссылка;Тип жилья;Тип дома;Адрес;Метро;Текст объявления;Год постройки;Общая площадь, кв.м;Жилая площадь, кв.м;Цена, ₽
1000;https://www.cian.ru/sale/flat/303303540/;Вторичка;Кирпичный;3-я Хорошевская ул., 19А, Москва, СЗАО, р-н Хорошево-Мневники м. Октябрьское поле;м. Октябрьское поле;Просторная квартира в тихом месте подойдет для молодых людей и пар.О квартире  дизайнерский ремонт, просторная гостиная позволяет собирать друзей и семью, есть пространство под рабочее место. В спальне большой шкаф для двух людей, кровать 160 метров. В прихожей и коридоре 2 огромных шкафа для вещей и хранения, в шкафу есть розетка для пылесоса. В ванной комнате просторная душевая кабина 12090, подвесная мебель, зеркало с подогревом от пара. Кухня оборудована современной техникой, есть вывод под посудомойку. Оплата квартплаты 7000р.О доме  закрытый ЖК, дом стоит особняком и почти нет шума от детей. В этом доме  салон красоты, студия массажа, в соседнем  кальяная, винный ресторан, продуктовые магазины. Есть доступ на соседнюю территорию того же ЖК  там еще больше магазинов, грумминг, салоны красоты, рестораны и кафе, спортивный зал премиум класса и тд. Жители ЖК собираются на соревнования по волейболу и баскетболу, пинг понгу, футболу, хоккею прямо на территории ЖК. Рядом парк, где многие бегают и гуляют.Условия продажи  1 взрослый собственник, в квартире никто не прописан, живет молодая семейная пара. Готовы оперативно показывать квартиру и выйти на сделку, выезд из квартиры за 12 недели. Продается почти со всей мебелью.;2018;49,9;10,3;24500000
1001;https://www.cian.ru/sale/flat/303261898/;Вторичка Апартаменты;;просп. Вернадского, 41С1, Москва, ЗАО, р-н Проспект Вернадского м. Проспект Вернадского;м. Проспект Вернадского;Продам уютную бизнес студию площадью 12 м². Идеальный вариант для одного человека, студента. Вход со двора дополнительный, прямо на этаж. Окно во двор на уровне второго этажа.Студия оборудована всей необходимой бытовой техникой холодильник, микроволновая печь, индукционная плита, тостер и чайник. В наличии вся необходимая посуда тарелки, чашки, столовые приборы, кастрюли и сковородки. Установлен современный кухонный гарнитур, обеспечивающий удобное хранение и использование кухонных принадлежностей. Также в студии установлен кондиционер, который обеспечит комфортную температуру в любое время года работает в режиме обогрева и охлаждения.Пространство организовано максимально функционально удобный диванкровать, встроенные шкафы для хранения, обеденная зона и рабочая зона с лампой. Студия оборудована экономичным в потреблении электрооборудованием энергосберегающие лампы, кондиционер с низким энергопотреблением, сетевой фильтр и пр.В общем доступе имеется прачечная самообслуживания. Недалеко находится фитнесцентр, что позволяет поддерживать активный образ жизни. Также доступна оперативная доставка продуктов и товаров через службы доставки, такие как Яндекс Лавка, Самокат. Поблизости расположены пункты выдачи заказов.Студия расположена в районе Проспекта Вернадского с хорошей транспортной доступностью 3 минуты до ст. метро Проспект Вернадского БКЛ, Красная ветка. Рядом находятся продовольственные магазины ВкусВилл, продуктовый магазин 247, большой выбор ресторанов и кафе, аптеки, парк.;;12;10,5;6500000
1002;https://www.cian.ru/sale/flat/303300713/;Вторичка;Панельный;Новочеркасский бул., 30, Москва, ЮВАО, р-н Марьино м. Марьино;м. Марьино;Продаю уютную квартиру в 12 минутах ходьбы от метро Марьино . В близи парков и прудов. Во дворе располагается школа и детский сад. Через дорогу магазины и кафе, фитнесс. Квартира расположена на 9 этаже, в квартире всегда солнечно, окна во двор.Выполнен качественный дизайнерский ремонт, заменена проводка, проложена новая сантехника, трубы Рехау, смонтирован теплый пол. Квартира полностью готова к комфортному проживанию, укомплектована мебелью и оборудованна бытовой техникой.  В квартире продуманно все до мелочей, все новое и остаётся вам, что поможет сэкономить ваше время и деньги на поиски всего необходимого. Квартира подходит под ипотеку. Все документы готовы к сделке. Один взрослый собственник. ЗВОНИТЕ;1981;37,7;21;12400000
1003;https://www.cian.ru/sale/flat/303282988/;Новостройка;Монолитный;Москва, ВАО, р-н Преображенское, Жилой комплекс Преображенская площадь м. Преображенская площадь;м. Преображенская площадь;Стоимость указана с учетом скидки 5.  Квартира на 4 этаже в жилом комплексе премиумкласса Преображенская площадь.  Проект премиумкласса в историческом районе Москвы. До метро Преображенская площадь 3 минуты пешком.  Квартиры сдаются без отделки и в свободной планировке, чтобы жители могли оформить пространство с учетом своей индивидуальности. Высота потолков от 3,15м, широкоформатное остекление, 35 квартир на этаже. Система Умный дом. Дизайнерские лобби.  Внутренний двор 1,5 га  функциональное и безопасное пространство для игр, работы и занятий спортом. Пешеходный променад для прогулок. Дома переменной этажности. Есть подземный паркинг.   Жилой комлекс находится в окружении парков Сокольники, Черкизовский, Измайловский, заповедника Лосиный остров и ВДНХ, а также вблизи пешеходной набережной.  Комфортная удаленность от центра 7 минут на автомобиле до ТТК, 8 минут до Садового кольца, 25 минут до Кремля. z2EtDm;;101,86;31,6;50658476
1004;https://www.cian.ru/sale/flat/303267482/;Вторичка;;Потаповский пер., 6, Москва, ЦАО, р-н Басманный м. Чистые пруды;м. Чистые пруды;В ЖК Клубный Дом Абрикосов продается 3х комнатная квартира с эффективным планировочным решением мастерспальня с  дровяным камином, зона гостиной и кухни с дровяным камином, 2 су.Свободная планировка квартиры дает возможность реализовать любые идеи.ПРЕИМУЩЕСТВАНастоящий дровяной камин, который придаст уюта и романтики тихими вечерами. Проектом предусмотрен двухсторонний камин, что позволит наслаждаться романтикой огня во всей квартире. Высокие потолки,3.3 м. Хороший вид на две стороны, тихо. Окна выходят во двор и и тихий, камерный Потаповский переулок.Большая, просторная, светлая КухнягостинаяНовый клубный дом, с более чем вековой историей, находящийся в самом сердце столицы, признан памятником архитектуры. Уютное благородство тихих улиц старой Москвы располагающее к пешим прогулкам по бульварам столицы.ИНЖЕНЕРНОТЕХНИЧЕСКОЕ ОСНАЩЕНИЕПриточновытяжная вентиляция с механическим побуждением, шумоглушителями и рекуперацией производства CLIVET S.p.A. Италия.Кондиционирование на базе фреонововодняных мультизональных систем чиллерфанкойл производства компании Daikin Япония.Поквартирные тепловые станции готовят воду необходимых параметров для систем отопления, ГВС и теплый пол.Система очистки воды удаляет более 99 примесей применены метод ионного обмена для умягчения воды, обратного осмоса для удаления солей органических веществ и микроорганизмов.Вводнораспределительные устройства оснащены оборудованием компании Schneider Electric, Zucchini.В квартирах предусмотрены дровяные камины с отдельным дымоходом для каждой квартирыЛифты Компании Kone Финляндия. Отделка кабин по индивидуальному проекту.В доме оборудован высокотехнологичный автоматический паркинг на 56  машиномест. ОКРУЖЕНИЕДом находится в 100 метрах от знаменитых Чистых прудов, в одном из самых романтичных и престижных районов Москвы. Он расположен в тихом Потаповском переулке в глубине квартала.Всего в 700 метрах от дома расположен лицей НИУ ВШЭ, занимающий первое место в рейтинге московских школ.В пешей доступности 7 корпусов и 6 факультетов ВШЭ, которая занимает первое место в рейтинге ВУЗов страны.Четыре театра в нескольких минутах ходьбы Современник, Московский театр Олега Табакова,Et Cetera, Большой театрНастоящий рай для любителей шопинга Третьяковский проезд 1400м,  ЦУМ 600м, Петровский пассаж 1700м, ГУМ 1800 м, Столешников переулок 2000м.В районе много зелени, рядом расположены три парка и несколько скверовНовый парк Горка  800 м.Зарядье крупнейшая парковая зона в центре  1500 м.Сад культуры и отдыха им Н.Э Баумана  1800 м.Так же дополнительно можно приобрести места в подземном паркинге и келлеры.Клубный дом Абрикосов  один из самых престижных элитных комплексов Москвы, современное инженерное оснащение, монолит, очистка воды, противопожарная система, просторная входная группа с высококлассной отделкой. Один взрослый собственник, возможна ипотека.Лучшее предложение в комплексе ЗвонитеАрт. 5;2023;67,4;47,4;99950000
1005;https://www.cian.ru/sale/flat/303301248/;Вторичка;Кирпичный;проезд Чечерский, 122к3, Москва, НАО (Новомосковский), Воскресенское поселение м. Бунинская аллея;м. Бунинская аллея;Арт. 67746479 ВНИМАНИЕ Продается уютная 1ком. квартира 42.78 кв.м. в ЖК Новое Бутово Общая Площадь 42.78 кв.м.В квартире выполнен современный ремонт в светлых, спокойных, пастельных тонах, благодаря чему квартира становится просторнее. Для Вашего дополнительного удобства при продаже остаётся вся  мебель, современный кухонный гарнитур со встроенной техникой.   Квартира отличается удобным расположением и развитой инфраструктурой. В шаговой доступности есть всё необходимое школы 1 минута от дома, детский сад 2 минуты от дома, пункты выдачи интернет заказов, аптеки, семейные клиники, банки.В 5 минутах ходьбы расположен ТЦ Бутово Молл, в котором находятся крупные сетевые продуктовые магазины.В 5 минутах ходьбы расположен благоустроенный парк Южное Бутово с прогулочными зонами, пляжами и беседками для отдыха.В 5 минутах ходьбы расположен конноспортивный комплекс с детской конной школой.Один взрослый собственник, свободная продажа, все документы готовы к сделке, обременений нет. У Вас есть возможность оформить ипотеку со ставкой от 11.99Оперативный показ в удобное для Вас время. Звоните прямо сейчас, пока предложение актуальноРады будем ответить на все ваши вопросы с 900 до 2100;2016;42,78;18,1;13800000
1006;https://www.cian.ru/sale/flat/303279228/;Вторичка;Монолитный;Звенигородское ш., 11, Москва, ЦАО, р-н Пресненский м. Улица 1905 года;м. 1905 года;Продается двух комнатная квартира с качественным ремонтом в жилом доме премиумкласса ЖК Eleven. В доме оборудованна система приточновытяжной вентиляции с многозональной системой кондиционирования. В пешей доступности метро улица 905 года. Так же в доме имеется фитнес клуб 3000м.кв. с бассейном 25м, детский клуб фитобар, массажный кабинет, ресторан, подземный паркинг, детская площадка, закрытая территория.;2022;76,6;27,7;70000000
1007;https://www.cian.ru/sale/flat/303277982/;Вторичка;Монолитный;Долгоруковская ул., 23А, Москва, ЦАО, р-н Тверской м. Новослободская;м. Новослободская;Уютная ВИЛЛА с патио в клубном доме Cameo. Тихий центр.ПЛАНИРОВКА ПЕРВЫЙ уровень  цокольный этаж, выход на парковку. Возможно размещение хозяйственной зоны и зоны хранения. ВТОРОЙ уровень гостиная, кухня, столовая, гостевая спальня или кабинет ТРЕТИЙ уровень  2 или 3 спальниПлощадь цокольного этажа  27 м², 1 этажа  99 м², 2 этажа  117 м². Патио 34 м².Окна в пол и потолки высотой 4,2 метра наполняют пространство светом.Во дворе допускается размещение БАРБЕКЮС управляющей компанией согласован проект увеличения площади виллы на 36 м².О КОМПЛЕКСЕЖК Camo  новый формат городских вилл, сочетающий ритм светской жизни и загородное спокойствие. В нем стиль ньюйоркских и лондонских таунхаусов соединился с атмосферой итальянских загородных резиденций. Роскошные двухтрехэтажные особняки с высокими потолками, окнами в пол и собственным лифтом расположились всего в трех минутах от Маяковской на закрытой территории с ландшафтным дизайном. 17 вилл  это 17 уникальных характеров. Каждая из них имеет террасу и приватное патио, полностью скрытое от посторонних взглядов живой изгородью.Внутреннее пространство проекта занимает изысканный сад, меняющий свой характер в зависимости от сезона. Сад выполнен ландшафтными архитекторами и составляет гармоничную композицию с виллами, за растениями ухаживает профессиональный садовник. Перед каждым домом есть собственный front yard, а за домом необычное для Москвы  патио или back yard, участок земли, который можно обустроить по своему вкусу. Патио прекрасно подойдет для занятий йогой, дружеских вечеринок и семейных обедов.На верхних этажах находятся видовые террасы с аркадами, откуда на бесшумном индивидуальном лифте можно спуститься прямо в подземный паркинг.;;236;;319052698
1008;https://www.cian.ru/sale/flat/303276836/;Вторичка;;Севастопольский просп., 22А, Москва, ЮЗАО, р-н Котловка м. Нагорная;м. Нагорная;ID 538897. 6комн. квартира в ЖК Eniteo с просторной кухнейгостиной. 4 санузла. Гардеробные. Подземный паркинг. Огороженная территория. В подъезде 4 премиальных скоростных лифта. Цифровая система видеонаблюдения, бесконтактный доступ на территорию дома. Система доступа с телефона к камерам видеонаблюдения, вход по биометрии.Инфраструктура Во внутреннем дворе спортивная и детская площадки, воркаутзона. Парк в 5 минутах, 7 минут до зоны отдыха у реки. Станции метро Нагорная, МЦК Крымская и Академическая. Рядом автобусная и трамвайная остановки 4 детских сада, 4 школы, Британская международная школа, лицей, колледжи, институты. Поликлиники детская и взрослая, мед. центры. Множество магазинов и кафе, ТЦ, рядом с метро Нагорная находятся горнолыжные склоны. До ТТК 1015 минут на машине.Номер объекта 153889719100;2023;151,2;111,3;58000000
1009;https://www.cian.ru/sale/flat/303270784/;Новостройка;Монолитный;Москва, НАО (Новомосковский), Мосрентген поселение, 1-й Ясеневский жилой комплекс, 1 м. Корниловская;м. Корниловская;Прямая продажа от застройщика Жилой Комплекс класса Комфорт Плюс.Продаётся студия номер 2 общей площадью 23.3 кв.м. на 2м этаже 18 этажного дома. Отделка Whitebox.Квартира с предчистовой отделкой White box. Вам не придётся заниматься черновыми трудоёмкими работами, а чистовую отделку и дизайн сделаете по своему вкусу.Расположение комплекса В жилом комплексе комфортплюс класса 1го Ясеневского доступны преимущества двух стилей жизни. Ведь в пешей доступности метро, школа с 25метровым бассейном и ITкластером и при этом целых 63 га благоустроенного Троицкого лесопарка под окнами, где так приятно дышать свежим воздухом и слушать пение птиц.Собственная закрытая территория 1го Ясеневского представляет собой уютный оазис. Здесь и зеленый освещенный бульвар для прогулок, система велодорожек, маленькая городская площадь, кафе, пекарни и кофе поинты. А еще дворы без машин и многоэтажная парковка. Изюминка территории  фруктовые деревья во дворах и городские сады.1й Ясеневский  всего в 1 км от МКАД, на территории новой Москвы. Жилой комплекс, где есть все необходимое для современного человека.Транспортная доступностьДо метро Корниловская  12 минут пешкомДо метро Тютчевская  25 минут пешкомДо метро Теплый стан  10 минут на транспортеДо метро Ольховая  30 минут на общественном транспорте Личный автотранспортВыезд на Калужское шоссе  500 мМКАД  1 кмВнутренняя инфраструктураЖК 1й Ясеневский можно назвать идеальным местом для жизни семьи с детьми. Здесь буквально за домом находится Троицкий лесопарк  излюбленное место прогулок молодых родителей. А во внутренних дворах под детские площадки выделены специальные зоны. Они оборудованы всем, что нужно для счастливого детства современными и максимально безопасными качелями, песочницами и лазалками. Оборудование и игровые сценарии на детских площадках спроектированы вместе с командой детских психологов для правильного развития ребенка и для повышения их интереса. Также рядом с домом два детских садика, один из которых уже построен и школа на 1100 мест. Школу по праву можно назвать образцовым учебным заведением. В ней закладываются основы успешного будущего. Здесь есть класс робототехники, ITкластер, 25метровый бассейн и прекрасно оборудованные спортзалы.;;23,3;10;8884290
1010;https://www.cian.ru/sale/flat/303266681/;Вторичка;Панельный;Днепропетровская ул., 27к1, Москва, ЮАО, р-н Чертаново Центральное м. Южная;м. Южная;Электронные торги.3комн. квартира на продажу, 58,5 м²Москва, Днепропетровская улица, дом 27, корпус 1, 5 этаж;1970;58,5;;10078000
1011;https://www.cian.ru/sale/flat/303300519/;Вторичка;Панельный;ул. Маршала Сергеева, 3, Москва, ЗАО, р-н Кунцево м. Молодёжная;м. Молодёжная;ТОЛЬКО РЕАЛЬНЫМ ПОКУПАТЕЛЯМ АГЕНТАМ И ПОСРЕДНИКАМ ПРОСЬБА НЕ БЕСПОКОИТЬПродаётся видовая, теплая, уютная, светлая, чистая, солнечная  квартирастудия в ЖК Молодогвардейская 36 на 8 этаже. В 5 минутах ходьбы станция метро Молодежная.  Общая площадь 19,6 кв.м. Квартира с отделкой,   с ремонтом, мебелью и бытовой техникой.  Квартира полностью готова к проживанию.  Во дворе благоустроенные детские и спортивные площадки. Паркинг. Охрана. В пешей доступности школа  64, детские сады, поликлиники, ТЦ КунцевоПлаза и Трамплин. Рядом парк Крылатские холмы и Филёвский парк.  Один взрослый собственник. Обременений нет. Полная стоимость в договоре.  Свободная продажа. Подходит под любой вид оплаты. Оперативный показ и выход на сделку.;2021;19,6;14,5;11599000
1012;https://www.cian.ru/sale/flat/303305554/;Вторичка;Панельный;ул. Академика Анохина, 13, Москва, ЗАО, р-н Тропарево-Никулино м. Юго-Западная;м. Юго-Западная;Продается чистая, уютная 2х комнатная квартира. Дом ЖСК, построен в 1999 г., серия П3М. Огороженная территория с парковкой для авто. Охрана. Въезд строго по пропускам. В подъезде консьерж. Квартира в отличном состоянии. При производстве ремонта выровнены стены, пол, потолок. Установлены кондиционеры в комнатах, стеклопакеты, радиаторы отопления, заменена электрика, застеклен балкон.  Очень развитая инфраструктура района. В пешей доступности школы, детские дошкольные учреждения, детская поликлиника, магазины, рестораны и торговые центры. Метро в 12 минутах пешком.  Большой Тропарёвский лесопарк в 2 минутах пешком. В собственности более 10 лет. Два взрослых собственника. Обременений нет. Свободная продажа. Возможна продажа по ипотеке.;1999;53,9;33;19800000
1013;https://www.cian.ru/sale/flat/303296998/;Новостройка;Монолитный;Москва, ЦАО, р-н Басманный, Май Приорити Басманный жилой комплекс м. Бауманская;м. Бауманская;Басманный район  один из самых комфортных для жизни районов центра Москвы. Здесь можно учиться, работать и отдыхать, растить детей, развиваться самим. Многие учебные заведения района занимают высокие позиции в рейтинге вклада школ в качественное образование, составленном департаментом образования города Москвы лицей НИУ ВШЭ, школа  354 им. Д. М. Карбышева, школа Покровский квартал и др. В Басманном районе находятся МГТУ им. Н. Э. Баумана и несколько корпусов Высшей школы экономики. Многие детские сады, поликлиники, медицинские центры и другие объекты социальной и коммерческой инфраструктуры района соседствуют с двумя крупными парковыми зонами  Чистопрудным бульваром и садом имени Баумана. Этот сад и Лефортовский парк  ближайшие к MYPRIORITY Basmanny зеленые оазисы. Также для любителей прогулок  набережная Яузы. Застройщиком является компания Гранель. Сдача объекта планируется в 3 квартале 2024 года.  Помимо самого жилья в ЖК входят детский сад, школа, фитнесцентр, а также двухуровневый подземный паркинг.Для пешеходов на территории Басманного района расположены 11 станций метро Лубянка, Чистые пруды, Красные Ворота, Китайгород КалужскоРижской и ТаганскоКраснопресненской линий, Тургеневская, Бауманская, Курская Кольцевой и АрбатскоПокровской линий, Чкаловская и новая  Электрозаводская  на Большой кольцевой линии.;;82,5;35,6;31500000
1014;https://www.cian.ru/sale/flat/303303303/;Вторичка;Монолитный;ул. Маресьева, 3, Москва, ЮВАО, р-н Некрасовка м. Некрасовка;м. Некрасовка;Код объекта 1139971.В продаже отличная  3х комнатная квартира в доме серии П44Т  вблизи метро Некрасовка. Светлая просторная квартира с 3я изолированными комнатами и большой кухней. На кухне теплый пол, эркер. В квартире две застекленные лоджии. Санузел раздельный. В ванной многофункциональная финская душевая кабина. Пять минут пешком до метро Некрасовка . К дому примыкает МФЦ. Развитая инфраструктура. Тихий чистый двор с детской площадкой, через дорогу большая бесплатная автопарковка. Рядом хороший парк с прогулочными дорожками и спортивный комплекс. Строится новый торговоразвлекательный центр. Квартира без залогов и обременений , один собственник. Возможна свободная продажа и быстрый выход на сделку. Звоните. По договорённости организую оперативный показ.;2012;76;44,8;18500000
1015;https://www.cian.ru/sale/flat/303268852/;Вторичка;Блочный;ул. Обручева, 47, Москва, ЮЗАО, р-н Черемушки м. Зюзино;м. Зюзино;Код объекта 1140036.ПРОСТОРНАЯ трехкомнатная  квартираДом  расположен в 15 мин. ходьбы от ст.м. Новые Черемушки и Зюзино. О квартире Общая площадь 65,4м2 ЛУЧШАЯ ПЛАНИРОВКА  Окна на три стороны  Изолированные комнаты 11,9 м2 14,2 м2  18,5 м2 с выходом на застеклённый балкон Хорошая площадь кухни 9,8 м2 с выходом на застеклённый балкон ПРОСТОРНАЯ гостиная интересной планировки Раздельный санузелДополнительные преимущества ЧЕРЕЗ ДОРОГУ Битцевский парк 5 МИНУТ, Огромный лесной массив для прогулок, спорта и отдыха. Школы, детсады, поликлиники детская и взрослая, магазины, салоны красоты  всё в ПЕШЕЙ ДОСТУПНОСТИ Есть возможность ПРОДАЖИ БОКСА в теплом охраняемом гараже на ул. Каховка.Улица Обручева, 47 расположена в районе, который обладает развитой транспортной инфраструктурой, обеспечивающей удобную доступность к различным точкам города1. Метро Рядом с улицей Обручева есть несколько станций метро, таких как Калужская линии 1 и 2, Беляево линия 6 и Коньково линия 7. Это обеспечивает удобную возможность перемещения по городу на метро.2. Автобусы и троллейбусы В районе улицы Обручева довольно плотная сеть автобусных и троллейбусных маршрутов, которые связывают этот район с другими районами Москвы. Это обеспечивает возможность добраться до различных районов города на общественном транспорте.3. Такси и Личный транспорт Кроме общественного транспорта, жители и посетители района могут воспользоваться такси или личным автотранспортом для перемещения по городу. Дорожная инфраструктура в этом районе обеспечивает удобство для водителей.4. Пешеходные зоны Район улицы Обручева также имеет развитую пешеходную инфраструктуру, что делает его удобным для пеших прогулок и перемещений.О документах Два взрослых собственника Без долгов и обременений ДОКУМЕНТЫ ГОТОВЫ К СДЕЛКЕ Альтернативная продажа альтернатива подобрана  Ипотека приветствуетсяУВАЖАЕМЫЕ ПОКУПАТЕЛИ и КОЛЛЕГИ, ЗВОНИТЕ, с радостью отвечу на все вопросы и организую оперативный показ квартиры;1965;65,4;48,5;17900000
1016;https://www.cian.ru/sale/flat/303288886/;Вторичка;Монолитный;ул. Академика Скрябина, 6, Москва, ЮВАО, р-н Рязанский м. Рязанский проспект;м. Рязанский проспект;Продам 3 ком квартиру в 23 мин ходьбы возле метро  Рязанский проспект на 15 видовом этаже 25 этажного дома комфорт класса. В доме на первом этаже находятся магазин  Магнит, салон красоты  Цирюльник, стоматология, пункт выдачи  Озон. В шаговой доступности магазины,поликлиника, аптеки, банки, МФЦ, налоговая, ярмарка. Квартира подходит для небольшой семьи. Классический стиль, евроремонт, отличное расположение комнат. В подарок покупатель получает итальянскую кухню с каменной столешницей, встроенной техникой, мебель , два кондиционера и прекрасный вид из просторной лоджии.Квартиру продает собственник. Возможен разумный торг.;2015;65;;21900000
1017;https://www.cian.ru/sale/flat/303288076/;Вторичка;Монолитный;просп. Вернадского, 97к3, Москва, ЗАО, р-н Тропарево-Никулино м. Юго-Западная;м. Юго-Западная;Номер в базе 844767. Реальному быстрому и активному покупателю торг и лучшая квартира для счастливого проживанияИНДИВИДУАЛЬНАЯ ДИЗАЙНЕРСКАЯ  3КОМНАТНАЯ КВАРТИРА ВОЗЛЕ МЕТРО.ДОКУМЕНТЫ 1 взрослый собственник ДКП более 15 лет Без обременений Полная стоимость в договоре Никто не прописан, не проживает Максимально быстро готовы к сделке Свободная продажа Под ипотеку сбер, втб и другие банки подходит О ДОМЕ ЖК Луна, бизнес класса Монолитный,  2004 год постройки, индивидуальный проект Чистый подъезд, приличные соседи Всегда свободная парковка возле дома, а также подземный паркинг в комплексе Домофон по системе умный дом, круглосуточная охрана, камеры видеонаблюдения.О КВАРТИРЕ Чистая, уютная Выполнен дизайнерский современный ремонт Комнаты просторные, изолированные, окна выходят на 2 стороны  в квартире всегда солнечно и светло 2 Полукруглые  застекленные лоджии, окна пластиковые, подоконники камень 2 Санузла 1 из детской, 2 напротив спальни Окно из ванной Теплые полы в санузлах, в гостиной  Кондиционер, Боллеры Вентиляционная система  очистки воздуха с климат контролем Квартира продается с мебелью и техникой, все , что на фото Детская привезена из Франции модель Барби В спальне на полу африканское дерево Панорамные стеклопакеты и двери отделаны деревом Люстра в зале  состоит из хрустальных шаров Сваровски 100 шт Кожаные кресла и диван изготовлены в  Италии ПостирочнаяО ЛОКАЦИИДом расположен в месте с развитой транспортной доступностью, до Юго Западная 5 мин пешком, автобусная остановка прямо рядом с домом.  Удобный выезд на Вернадское шоссе.  Район обладает развитой инфраструктурой. Район славится ВУЗами МИРЭА, МГИМО, МПГУ, РАНХИГС, РУДН, НИИ, лучшими школами. В  пешей доступности  школы 875, Немецкая, школа им. Гааза, детские сады, Московская Академия Тенниса, ТЦ Авеню, Премьера, Поликлиники  Детская и взрослая, все банки и другие удобства Московской городской среды. Экология благоприятная, вокруг зеленые зоны, Тропаревский лесопарк, государственный природный заказник регионального значения Лес на реке Самородинке.Звоните, готова организовать оперативный показ, ключи у меня..;2004;109,9;60;40000000
1018;https://www.cian.ru/sale/flat/303294732/;Вторичка;Панельный;ул. Маршала Захарова, 12К3, Москва, ЮАО, р-н Орехово-Борисово Северное м. Орехово;м. Орехово;Продается двухкомнатная квартира в экологически чистом районе ОреховоБорисово прямо от дома начинается парк Борисовские пруды, рядом парк Царицыно.  Комнаты изолированы, 18 кв.м. и 12 кв.м. Санузел раздельный. Есть лоджия. Все окна квартиры выходят в парк Борисовские пруды. Косметический ремонт сделан два года назад.  В подъезде чисто, два лифта пассажирский и грузовой, консьержка. Метро Орехово в шаговой доступности 1215 мин., можно транспортом 5 мин. Район с развитой инфраструктурой, детский сад, школа. В парке и рядом с домом спортивные площадки волейбольные, баскетбольные, футбольные, теннисные корты, 9 детских площадок.     Квартира свободна, один собственник. Звонить по второму номеру.;1984;50,1;30;16000000
